Date,Publication,Country,Country2,Country3,Topic,Headline,Link
2026-05-15,Independent,None,,,Ebola virus,A look at major Ebola outbreaks and when the disease was first identified,https://www.independent.co.uk/news/ebola-congo-world-health-organization-south-africa-cape-town-b2977514.html
2026-05-17,Independent,DRC,Uganda,,Ebola virus,What you need to know about the latest Ebola outbreak and rare Bundibugyo strain,https://www.independent.co.uk/news/health/ebola-congo-uganda-bundibugyo-virus-b2978137.html
2026-07-24,Independent,DRC,,,Epidemic,"Congo's Ebola outbreak is the fastest ever recorded as death toll passes 1,000",https://www.independent.co.uk/news/world/africa/ebola-virus-congo-abuja-nigeria-record-b3021103.html
2026-05-20,Independent,DRC,,,Epidemic,The struggle to contain the Ebola outbreak in DRC: 'It's very much not under control',https://www.independent.co.uk/news/world/africa/ebola-outbreak-virus-congo-who-uk-b2980222.html
2026-07-22,Independent,DRC,,,Epidemic,"Ebola deaths surge to 1,000 as mistrust keeps people from health clinics",https://www.independent.co.uk/news/world/africa/ebola-congo-virus-uganda-outbreak-b3019523.html
2026-05-17,Independent,DRC,,,Epidemic,Global health emergency declared over Ebola outbreak,https://www.independent.co.uk/news/health/who-ebola-outbreak-congo-uganda-b2978081.html
2026-05-29,Independent,DRC,,,Risk communication/conspiracies,Urgent aid rushed to Congo amid Ebola outbreak as health workers battle community distrust,https://www.independent.co.uk/news/health/ebola-congo-world-health-organization-medical-aid-b2986021.html
2026-05-15,Independent,None,,,Ebola virus,What to know about new Ebola outbreak that has killed 65 people in Congo,https://www.independent.co.uk/news/ebola-cdc-uganda-south-sudan-world-health-organization-b2977266.html
2026-06-26,Independent,South Sudan,,,Other,"Fastest-spreading Ebola outbreak could reach South Sudan within weeks, experts warn",https://www.independent.co.uk/news/world/africa/ebola-congo-south-sudan-uganda-b3003525.html
2026-05-20,Independent,DRC,,,Economic impact/daily life,"Risk of Ebola spread is high locally but low globally, WHO says",https://www.independent.co.uk/news/ebola-congo-tedros-adhanom-ghebreyesus-ebola-virus-who-b2980248.html
2026-05-26,Independent,DRC,,,Risk communication/conspiracies,1 in 3 people at centre of deadly Ebola outbreak don't believe it is real: 'A satanic disease',https://www.independent.co.uk/news/world/africa/ebola-virus-outbreak-uganda-congo-drc-b2983685.html
2026-05-22,Independent,DRC,,,Epidemic,WHO raises risk of Ebola outbreak in Congo to 'very high' at national level,https://www.independent.co.uk/news/health/ebola-spread-strain-spread-congo-b2981993.html
2026-06-01,Independent,DRC,,,Other,Survivors tell what it's like to battle Ebola: 'Coming out alive is an indescribable joy',https://www.independent.co.uk/news/health/ebola-virus-symptoms-congo-survivors-b2987332.html
2026-07-28,Independent,DRC,,,Epidemic,"Ebola cases in Congo top 3,200, nearing record of the country's worst outbreak",https://www.independent.co.uk/news/congo-data-uganda-west-africa-mercy-corps-b3022881.html
2026-07-13,Independent,USA,,,Repatriation/Importation,Ebola outbreak spreads as German hospital treats infected Congo patient,https://www.independent.co.uk/news/health/ebola-congo-spread-frankfurt-symptoms-b3013747.html
2026-08-03,Independent,DRC,,,Other,More pregnant women are dying in Congo as they avoid hospitals over Ebola,https://www.independent.co.uk/news/ebola-congo-nigeria-india-abuja-b3026187.html
2026-05-19,Independent,UK,USA,,Funding/aid,Ebola outbreak a 'wake-up call' to the danger of US and UK aid cuts,https://www.independent.co.uk/news/health/ebola-outbreak-congo-emergency-us-uk-aid-cuts-b2978880.html
2026-05-20,Independent,DRC,,,Epidemic,"Deadly Congo Ebola outbreak began months ago - and will continue to grow, warns WHO",https://www.independent.co.uk/news/world/africa/ebola-congo-who-super-spreader-b2980476.html
2026-07-14,Independent,DRC,,,Epidemic,"Majority of new Ebola cases are 'from unknown chains of transmission,' WHO official says",https://www.independent.co.uk/news/congo-ebola-world-health-organization-ebola-virus-uganda-b3014607.html
2026-07-29,Independent,DRC,,,Economic impact/daily life,"Ebola outbreak is worsening food insecurity in eastern Congo, UN agency chief warns",https://www.independent.co.uk/news/ebola-congo-world-food-program-b3023994.html
2026-06-23,Independent,DRC,,,Funding/aid,"Fears spread of Ebola accelerated by critical lack of water and sanitation - as cases pass 1,000",https://www.independent.co.uk/news/world/africa/ebola-congo-uganda-virus-aid-water-b3000572.html
2026-07-15,Independent,USA,,,Travel restrictions,Americans returning from Congo face new travel restrictions amid Ebola outbreak,https://www.independent.co.uk/news/health/ebola-outbreak-americans-congo-cdc-b3015642.html
