Date,Publication,Country,Country2,Country3,Topic,Headline,Link
2026-05-23,Independent,USA,,,Travel restrictions,US names second airport for Ebola screening as cases in Congo outbreak skyrocket,https://www.independent.co.uk/news/health/atlanta-airport-ebola-screening-hartsfield-jackson-cdc-outbreak-b2982545.html
2026-06-02,Independent,DRC,,,Economic impact/daily life,"As Congo grapples with Ebola, volunteers cook up meals to support patients and health workers",https://www.independent.co.uk/news/ebola-congo-united-nations-uganda-world-food-program-b2987803.html
2026-06-02,Independent,UK,,,Funding/aid,"Ebola crisis shows that aid cuts have been 'counterproductive,' UK development minister admits",https://www.independent.co.uk/news/world/africa/ebola-outbreak-uk-aid-uganda-virus-b2987899.html
2026-05-18,Independent,USA,,,Repatriation/Importation,Americans in Congo feared exposed to deadly Ebola outbreak,https://www.independent.co.uk/news/health/ebola-drc-uganda-cdc-americans-b2978700.html
2026-07-09,Independent,DRC,,,Epidemic,"Ebola death toll in Congo reaches 600, as new cases suspected in previously unaffected province",https://www.independent.co.uk/news/kinshasa-congo-ebola-world-health-organization-b3011777.html
2026-07-05,Independent,DRC,,,Therapeutics/diagnostics,Residents in eastern Congo cling to hope as a new Ebola treatment trial begins,https://www.independent.co.uk/news/ebola-congo-world-health-organization-tedros-adhanom-ghebreyesus-antwerp-b3009111.html
2026-05-18,Independent,None,,,Funding/aid,Ebola and hantavirus have Africa talking 'health sovereignty' as donor support fades,https://www.independent.co.uk/news/africa-ebola-harare-united-states-uganda-b2978747.html
2026-05-19,Independent,USA,,,Repatriation/Importation,Trump 'concerned' about Ebola outbreak after American tests positive for deadly virus,https://www.independent.co.uk/news/world/americas/us-politics/trump-ebola-concerned-congo-uganda-b2979259.html
2026-05-28,Independent,DRC,,,Conflict,"WHO chief calls for 'immediate ceasefire' in Democratic Republic of Congo as number of suspected Ebola cases nears 1,000",https://www.independent.co.uk/news/world/africa/ebola-outbreak-cases-congo-ceasefire-who-b2985133.html
2026-05-30,Independent,DRC,,,Environment,"As Ebola scourges Congo, experts warn of link to the consumption of 'wild meat'",https://www.independent.co.uk/news/ebola-congo-congo-basin-west-africa-kinshasa-b2986331.html
2026-05-24,Independent,DRC,,,Protests,Young men storm a Congo hospital treating Ebola patients to demand bodies of their kin,https://www.independent.co.uk/news/ebola-congo-kinshasa-ebola-virus-world-health-organization-b2982913.html
2026-05-23,Independent,Uganda,,,Other,"Ugandans rue link to Bundibugyo, the Ebola virus type named after a district of cocoa farmers",https://www.independent.co.uk/news/ebola-congo-ebola-virus-yoweri-museveni-who-b2982362.html
2026-05-28,Independent,Canada,Mexico,USA,World cup,Ebola outbreak prompts World Cup co-hosts to step up health measures to protect fans,https://www.independent.co.uk/sport/football/world-cup/ebola-world-cup-2026-usa-mexico-canada-health-measures-b2985429.html
2026-05-19,Independent,USA,,,Travel restrictions,US bans travellers from three African countries amid deadly Ebola outbreak,https://www.independent.co.uk/news/health/ebola-outbreak-2026-us-cdc-symptoms-b2978826.html
2026-06-17,Independent,DRC,,,Epidemic,A 16-month-old and his mother recover from Ebola in rare good news from outbreak in Congo,https://www.independent.co.uk/news/ebola-west-africa-african-cdc-north-kivu-b2997566.html
2026-05-21,Independent,None,,,Therapeutics/diagnostics,"Congo Ebola outbreak cases are 'top of the iceberg', vaccine coalition warns",https://www.independent.co.uk/news/health/ebola-outbreak-bundibugyo-congo-uganda-vaccine-b2981191.html
2026-05-20,Independent,USA,,,Repatriation/Importation,White House denies it resisted letting American doctor infected with ebola return to US for treatment,https://www.independent.co.uk/news/world/americas/us-politics/ebola-american-doctor-return-white-house-b2980711.html
2026-05-29,Independent,Kenya,USA,,Travel restrictions,Dump site:' Kenya erupts over US Ebola quarantine scheme,https://www.independent.co.uk/news/health/ebola-us-quarantine-plan-kenya-b2985772.html
2026-05-23,Independent,DRC,,,World cup,Congo's World Cup preparations remain unchanged despite US Ebola warning,https://www.independent.co.uk/sport/football/world-cup/congo-world-cup-preparations-us-warning-ebola-outbreak-b2982532.html
